id,date,academicYear,weekday,scheduleType,unitCode,unitName,startTime,endTime,hours,hourlyWage,sourceHourSettingId,createdAt
ROW_1783913102560_99338,2025-09-15,114,星期一,開學(平日),U_A1,Unit_A1,08:00,21:30,34,196,HOUR_1783911737867_5954,2026-07-13T03:25:02.560Z
ROW_1783913102560_91855,2025-09-15,114,星期一,開學(平日),U_A2,Unit_A2,08:00,16:30,14,196,HOUR_1783911761759_1053,2026-07-13T03:25:02.560Z
ROW_1783913102560_3929,2025-09-15,114,星期一,開學(平日),U_B1,Unit_B1,08:00,22:00,34,196,HOUR_1783911785403_1126,2026-07-13T03:25:02.560Z
ROW_1783913102560_89710,2025-09-15,114,星期一,開學(平日),U_C1,Unit_C1,08:00,21:00,27,196,HOUR_1783911816251_8055,2026-07-13T03:25:02.560Z
ROW_1783913102560_8456,2025-09-15,114,星期一,開學(平日),U_B2,Unit_B2,08:00,16:30,14,196,HOUR_1783911835231_7748,2026-07-13T03:25:02.560Z
ROW_1783913102560_68306,2025-09-15,114,星期一,開學(平日),U_X6,Unit_X6,21:00,23:00,2,196,HOUR_1783911960569_7106,2026-07-13T03:25:02.560Z
ROW_1783913102560_63540,2025-09-16,114,星期二,開學(平日),U_A1,Unit_A1,08:00,21:30,34,196,HOUR_1783911737867_5954,2026-07-13T03:25:02.560Z
ROW_1783913102560_44009,2025-09-16,114,星期二,開學(平日),U_A2,Unit_A2,08:00,16:30,14,196,HOUR_1783911761759_1053,2026-07-13T03:25:02.560Z
ROW_1783913102560_10741,2025-09-16,114,星期二,開學(平日),U_B1,Unit_B1,08:00,22:00,34,196,HOUR_1783911785403_1126,2026-07-13T03:25:02.560Z
ROW_1783913102560_88864,2025-09-16,114,星期二,開學(平日),U_C1,Unit_C1,08:00,21:00,27,196,HOUR_1783911816251_8055,2026-07-13T03:25:02.560Z
ROW_1783913102560_4879,2025-09-16,114,星期二,開學(平日),U_B2,Unit_B2,08:00,16:30,14,196,HOUR_1783911835231_7748,2026-07-13T03:25:02.560Z
ROW_1783913102560_63858,2025-09-16,114,星期二,開學(平日),U_X6,Unit_X6,21:00,23:00,2,196,HOUR_1783911960569_7106,2026-07-13T03:25:02.560Z
ROW_1783913102560_5129,2025-09-17,114,星期三,開學(平日),U_A1,Unit_A1,08:00,21:30,34,196,HOUR_1783911737867_5954,2026-07-13T03:25:02.560Z
ROW_1783913102560_89915,2025-09-17,114,星期三,開學(平日),U_A2,Unit_A2,08:00,16:30,14,196,HOUR_1783911761759_1053,2026-07-13T03:25:02.560Z
ROW_1783913102560_67088,2025-09-17,114,星期三,開學(平日),U_B1,Unit_B1,08:00,22:00,34,196,HOUR_1783911785403_1126,2026-07-13T03:25:02.560Z
ROW_1783913102560_89357,2025-09-17,114,星期三,開學(平日),U_C1,Unit_C1,08:00,21:00,27,196,HOUR_1783911816251_8055,2026-07-13T03:25:02.560Z
ROW_1783913102560_80839,2025-09-17,114,星期三,開學(平日),U_B2,Unit_B2,08:00,16:30,14,196,HOUR_1783911835231_7748,2026-07-13T03:25:02.560Z
ROW_1783913102560_61912,2025-09-17,114,星期三,開學(平日),U_X6,Unit_X6,21:00,23:00,2,196,HOUR_1783911960569_7106,2026-07-13T03:25:02.560Z
